video_name,frame_baseline_model,frame_developed_model
cat1.mp4,220,360
cat2.mp4,50,310
cat3.mp4,440,30
cat4.mp4,120,290
cat5.mp4,180,640
cat6.mp4,430,380
cat7.mp4,200,180
cat8.mp4,300,300
cat9.mp4,80,420
cat10.mp4,390,280
cat11.mp4,80,120
cat12.mp4,220,260
cat13.mp4,350,110
cat14.mp4,170,230
cat15.mp4,30,40
cat16.mp4,10,10
cat17.mp4,40,160
cat19.mp4,0,0
cat20.mp4,1880,1510
cat21.mp4,190,230
cat22.mp4,250,270
cat23.mp4,370,350
cat24.mp4,50,40
cat25.mp4,400,1040
cat26.mp4,940,120
cat27.mp4,20,220
cat28.mp4,980,1060
cat29.mp4,1470,2570
cat30.mp4,510,440
